job_id,arrival_time,duration,gpu_count,gpu_type,preemptible,workload_kind,priority,source_trace
ph-application_1506638472019_17082,421.577,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_17085,421.58866666666665,6,1,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_17258,423.36633333333333,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_17294,424.52233333333334,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_17362,427.6066666666667,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_17904,444.733,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_17907,444.7423333333333,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_18084,445.304,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_18207,445.545,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_18276,446.043,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_18470,446.6546666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_18493,446.70866666666666,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_18532,446.7986666666667,6,1,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_18557,446.857,6,1,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_18923,450.532,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_18928,450.5486666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_19034,450.98266666666666,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_19117,451.2556666666667,6,1,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_19306,452.00266666666664,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_19513,452.93966666666665,6,1,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_19556,453.0846666666667,6,8,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_19623,453.304,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_19784,454.3093333333333,6,1,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_19786,454.31966666666665,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_19899,454.77566666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_19914,454.83,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_19951,455.7323333333333,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_20023,457.2626666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_20025,457.29266666666666,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_20091,457.59633333333335,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_20201,464.20666666666665,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_20205,464.56233333333336,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_20224,465.024,6,2,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_20291,466.52633333333335,8,2,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_20332,468.10066666666665,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_20401,470.22766666666666,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_20484,471.8523333333333,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_20533,471.90766666666667,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_20861,476.93666666666667,8,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_21399,480.4193333333333,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_21465,480.57433333333336,6,1,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_21505,480.6526666666667,6,1,NVIDIA-B200,False,training,0,philly
