namespace,pod,phase,start,finish
ns-16904374776309414,instance-1576-0,Pending,2024-02-01 13:45:00+09:00,2024-02-01 15:15:00+09:00
ns-16904374776309414,instance-1576-0,Running,2024-02-01 15:15:00+09:00,2024-02-03 10:00:00+09:00
ns-16904374776309414,instance-1576-0,Running,2024-02-05 09:00:00+09:00,2024-02-06 09:00:00+09:00
ns-16904374776309414,instance-1576-0,Pending,2024-02-06 16:00:00+09:00,2024-02-06 16:30:00+09:00
ns-16904374776309414,instance-1576-0,Running,2024-02-06 16:30:00+09:00,2024-02-07 16:00:00+09:00
ns-16904374776309414,instance-1576-0,Running,2024-02-07 16:15:00+09:00,2024-02-08 00:00:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-11-08 21:15:00+09:00,2023-11-09 08:30:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-11-14 08:30:00+09:00,2023-11-16 08:30:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-11-16 09:00:00+09:00,2023-11-17 09:00:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-11-17 13:45:00+09:00,2023-11-18 13:45:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-11-20 10:45:00+09:00,2023-11-21 11:00:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-11-21 15:45:00+09:00,2023-11-22 15:45:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-11-23 10:15:00+09:00,2023-11-24 10:15:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-11-28 09:45:00+09:00,2023-11-29 09:45:00+09:00
ns-16904374776309414,instance-1631-0,Pending,2023-11-29 10:30:00+09:00,2023-11-29 11:15:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-11-29 11:15:00+09:00,2023-11-30 10:30:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-11-30 10:45:00+09:00,2023-12-02 10:45:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-12-04 08:15:00+09:00,2023-12-05 08:15:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-12-05 09:00:00+09:00,2023-12-06 09:00:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-12-06 09:15:00+09:00,2023-12-07 09:15:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-12-08 08:45:00+09:00,2023-12-09 09:00:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-12-11 10:00:00+09:00,2023-12-12 10:00:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-12-12 10:15:00+09:00,2023-12-13 10:15:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-12-13 10:30:00+09:00,2023-12-15 10:30:00+09:00
