pod,queue_sec,jct_sec
ph-application-1506638472019-35284-fjclc,104.0,116.0
ph-application-1506638472019-35339-lzmh4,104.0,116.0
ph-application-1506638472019-35388-t7pxk,532.0,534.0
ph-application-1506638472019-35496-8f4q9,109.0,111.0
ph-application-1506638472019-35512-zgvkx,108.0,110.0
ph-application-1506638472019-3565-665jf,865.0,866.0
ph-application-1506638472019-35771-79g2p,118.0,129.0
ph-application-1506638472019-35788-92sg2,118.0,130.0
ph-application-1506638472019-35813-hdmx6,118.0,130.0
ph-application-1506638472019-35887-hmmt6,118.0,130.0
ph-application-1506638472019-35897-rwhc5,129.0,130.0
ph-application-1506638472019-35966-4p2pq,128.0,139.0
ph-application-1506638472019-3613-z45mf,29.0,40.0
ph-application-1506638472019-36209-5qrf7,127.0,138.0
ph-application-1506638472019-36326-qcjms,126.0,137.0
ph-application-1506638472019-36496-j7vc9,130.0,142.0
ph-application-1506638472019-36764-lfrlq,127.0,139.0
ph-application-1506638472019-36954-9lnz7,124.0,136.0
ph-application-1506638472019-36973-b5wd2,124.0,136.0
ph-application-1506638472019-37140-pz626,122.0,134.0
ph-application-1506638472019-37167-hbg9d,131.0,143.0
ph-application-1506638472019-37278-tvqzp,128.0,139.0
ph-application-1506638472019-37303-vh4sv,128.0,139.0
ph-application-1506638472019-37364-mn65q,132.0,143.0
ph-application-1506638472019-37379-cdgcj,132.0,144.0
ph-application-1506638472019-3750-xdqgv,23.0,35.0
ph-application-1506638472019-37733-7mk72,131.0,142.0
ph-application-1506638472019-3788-hnbcv,861.0,862.0
ph-application-1506638472019-37887-9wn6k,130.0,142.0
ph-application-1506638472019-37955-6fcpq,129.0,131.0
ph-application-1506638472019-38014-zlz5l,134.0,145.0
ph-application-1506638472019-38114-76cpv,136.0,148.0
ph-application-1506638472019-3819-6w7sq,20.0,32.0
ph-application-1506638472019-38193-vdgjz,136.0,148.0
ph-application-1506638472019-38423-jj2gk,136.0,147.0
ph-application-1506638472019-38690-n2p9k,504.0,515.0
ph-application-1506638472019-38775-ms95c,132.0,143.0
ph-application-1506638472019-39077-fpvwb,125.0,136.0
ph-application-1506638472019-39137-4z4fg,125.0,136.0
ph-application-1506638472019-39248-bz6cn,123.0,134.0
ph-application-1506638472019-39285-4pw6v,128.0,139.0
ph-application-1506638472019-4257-77584,8.0,19.0
ph-application-1506638472019-4505-84d6w,4.0,16.0
ph-application-1506638472019-4510-gh6bg,4.0,16.0
ph-application-1506638472019-4584-pmr9f,1.0,13.0
ph-application-1506638472019-4590-5h7tb,1.0,13.0
ph-application-1506638472019-4772-f55kp,4.0,5.0
ph-application-1506638472019-4898-fhqqx,3.0,14.0
ph-application-1506638472019-4980-jhsw2,8.0,20.0
ph-application-1506638472019-5127-mcpqr,8.0,20.0
ph-application-1506638472019-5296-752st,13.0,25.0
ph-application-1506638472019-5305-6p6td,13.0,25.0
ph-application-1506638472019-5363-xth5p,13.0,24.0
ph-application-1506638472019-5436-6xw6f,13.0,24.0
ph-application-1506638472019-5644-f5r9h,12.0,24.0
ph-application-1506638472019-5732-sk9kr,17.0,28.0
ph-application-1506638472019-6191-p2xxd,4.0,15.0
ph-application-1506638472019-6235-kc494,8.0,20.0
ph-application-1506638472019-6359-mt6k8,4.0,15.0
ph-application-1506638472019-6417-vs7mb,4.0,15.0
ph-application-1506638472019-6545-mp9z4,4.0,16.0
ph-application-1506638472019-6546-sh4zz,4.0,16.0
ph-application-1506638472019-6575-9sv6v,9.0,20.0
ph-application-1506638472019-6726-8wj5h,13.0,24.0
ph-application-1506638472019-6729-9kpdr,18.0,30.0
ph-application-1506638472019-6740-rq867,18.0,30.0
ph-application-1506638472019-6761-w4mp9,18.0,31.0
ph-application-1506638472019-6834-4ksll,18.0,30.0
ph-application-1506638472019-6867-jqbfg,18.0,31.0
ph-application-1506638472019-7002-kjtbc,18.0,30.0
ph-application-1506638472019-7075-rq482,22.0,33.0
ph-application-1506638472019-7117-69lb9,27.0,38.0
ph-application-1506638472019-7118-pxld4,32.0,45.0
ph-application-1506638472019-7207-pm8wb,33.0,45.0
ph-application-1506638472019-7264-dj62p,33.0,45.0
ph-application-1506638472019-7291-bllp7,33.0,45.0
ph-application-1506638472019-7336-bk7nn,33.0,45.0
ph-application-1506638472019-7358-tkrv7,32.0,44.0
ph-application-1506638472019-7367-tkmv6,37.0,48.0
ph-application-1506638472019-7402-6tfch,42.0,53.0
ph-application-1506638472019-7474-rt68g,47.0,59.0
ph-application-1506638472019-7994-d6zfj,46.0,58.0
ph-application-1506638472019-8064-67vdn,46.0,58.0
ph-application-1506638472019-8188-7t6kt,45.0,57.0
ph-application-1506638472019-8386-f4ts6,43.0,55.0
ph-application-1506638472019-8553-59z89,43.0,55.0
ph-application-1506638472019-8617-q29p5,48.0,59.0
ph-application-1506638472019-8740-4sd9q,51.0,62.0
ph-application-1506638472019-8799-nh2wc,56.0,69.0
ph-application-1506638472019-8834-p6tm7,56.0,69.0
ph-application-1506638472019-8853-tlr5j,55.0,68.0
ph-application-1506638472019-8936-mqzmb,56.0,68.0
ph-application-1506638472019-9265-mf7jl,55.0,67.0
ph-application-1506638472019-9329-7767l,55.0,67.0
ph-application-1506638472019-9471-n4pv8,59.0,70.0
ph-application-1506638472019-9682-8czdg,64.0,75.0
ph-application-1506638472019-9793-pftvv,790.0,802.0
ph-application-1506638472019-9874-d4slk,66.0,78.0
ph-application-1506638472019-9949-fh2bv,66.0,78.0
ph-application-1506638472019-9970-szkqv,66.0,78.0
ph-application-1506638472019-9980-rmqp7,66.0,78.0
ph-application-1508364558011-0030-k587s,131.0,143.0
ph-application-1508364558011-0128-c467h,135.0,146.0
